CommitID,Payment,Ordering,Webhooks,Basket,Identity,Catalog,Marketing,
d8a0d9bb,N,Y,N,Y,N,Y,N,
0e7e4e41,N,Y,N,Y,Y,N,N,
e4d3c66d,N,Y,N,N,Y,N,N,
10f3e17b,N,Y,N,Y,Y,Y,N,
31753fc0,N,Y,N,Y,Y,Y,N,
44f238f3,N,Y,N,Y,Y,Y,N,
9e72fe7c,N,Y,N,Y,Y,N,N,
64d3919a,N,Y,N,Y,Y,N,N,
42f35374,N,Y,N,Y,Y,Y,N,
0a344f6c,N,Y,N,Y,Y,N,N,
a939fe7a,N,Y,N,N,Y,N,N,
339ea43f,N,Y,N,N,N,Y,N,
b345bd51,N,N,N,Y,Y,N,N,
1ae4d01f,N,Y,N,N,N,Y,N,
95af3364,N,Y,N,N,N,Y,N,
6cff3aaf,N,N,N,Y,N,Y,N,
97e83b1f,N,N,N,Y,N,Y,N,
28b4ccb3,N,Y,N,N,N,N,N,
68bcb70f,N,Y,N,N,N,N,N,
1ba70879,N,Y,N,N,N,N,N,
ec6256ef,N,Y,N,N,N,N,N,
e898bc0d,N,Y,N,Y,N,Y,N,
